Datetime,V,FI,TREE,SQ
1/3/2017 16:00:00,79.5,53.67,98.35,13.81
1/4/2017 16:00:00,80.15,54.33,104.05,14.25
1/5/2017 16:00:00,81.09,54.31,102,14.56
1/6/2017 16:00:00,82.21,54.92,100.75,15
1/9/2017 16:00:00,81.75,54.05,101.45,15.06
1/10/2017 16:00:00,81.31,54.12,105.05,14.91
1/11/2017 16:00:00,81.8,54.27,104.25,14.9
1/12/2017 16:00:00,81.37,54.71,103.75,14.74
1/13/2017 16:00:00,81.17,55.15,104.6,14.75
1/17/2017 16:00:00,81.26,55.22,104.9,14.69
1/18/2017 16:00:00,81.59,55.04,105.95,14.64
1/19/2017 16:00:00,81.73,54.68,106,14.73
1/20/2017 16:00:00,81.84,54.79,105.65,14.89
1/23/2017 16:00:00,82.15,54.33,104.15,14.61
1/24/2017 16:00:00,83.23,54.26,106.35,14.66
1/25/2017 16:00:00,83.9,54.27,105.8,14.6
1/26/2017 16:00:00,83.24,53.93,106.1,14.41
1/27/2017 16:00:00,83.77,54.05,110.8,14.53
1/30/2017 16:00:00,83.7,54.08,110.9,14.45
1/31/2017 16:00:00,82.71,53.72,111.9,14.62
2/1/2017 16:00:00,82.44,52.69,111,14.36
2/2/2017 16:00:00,82.3,52.73,111.9,14.36
2/3/2017 16:00:00,86.08,53.36,114.6,14.28
2/6/2017 16:00:00,85.83,53.43,113.7,14.4
2/7/2017 16:00:00,85.78,53.21,113.5,14.4
2/8/2017 16:00:00,85.09,53.89,115.95,14.47
2/9/2017 16:00:00,85.58,54.74,116.8,14.73
2/10/2017 16:00:00,85.9,54.54,117,14.61
2/13/2017 16:00:00,86.44,55.05,115.8,14.5
2/14/2017 16:00:00,86.85,55.07,117.95,14.33
2/15/2017 16:00:00,87.54,55.54,114.4,14.31
2/16/2017 16:00:00,87.41,55.63,113.65,13.89
2/17/2017 16:00:00,87.46,55.99,112.95,14.47
2/21/2017 16:00:00,87.92,56.2,113.6,14.63
2/22/2017 16:00:00,87.8,56.91,112.15,15.04
2/23/2017 16:00:00,88.18,57.45,122.25,17.15
2/24/2017 16:00:00,88.43,58.15,123.4,17.43
2/27/2017 16:00:00,88,57.79,121.8,17.93
2/28/2017 16:00:00,87.94,57.7,118.4,17.32
3/1/2017 16:00:00,88.99,58.56,119.3,17.22
3/2/2017 16:00:00,88.53,58.32,117.2,16.99
3/3/2017 16:00:00,88.79,58.75,119.1,16.89
3/6/2017 16:00:00,88.94,58.51,118.4,16.86
3/7/2017 16:00:00,89.06,58.48,117.25,16.76
3/8/2017 16:00:00,88.96,58.73,116.45,16.83
3/9/2017 16:00:00,89.11,58.73,115.4,17.07
3/10/2017 16:00:00,89.73,58.64,118.9,16.91
3/13/2017 16:00:00,90.11,58.95,120.9,16.93
3/14/2017 16:00:00,89.55,58.69,120.7,16.77
3/15/2017 16:00:00,89.92,58.83,121.2,16.95
3/16/2017 16:00:00,90.04,58.63,123.9,17.21
3/17/2017 16:00:00,90.24,58.9,124,17.28
3/20/2017 16:00:00,89.18,58.35,122.55,17.24
3/21/2017 16:00:00,88.06,58.08,116.65,16.51
3/22/2017 16:00:00,88.52,57.94,117.5,16.41
3/23/2017 16:00:00,88.86,57.93,118.75,16.61
3/24/2017 16:00:00,89.19,57.97,118.85,16.59
3/27/2017 16:00:00,88.95,57.75,119.7,17.25
3/28/2017 16:00:00,89.12,57.9,124.15,17.23
3/29/2017 16:00:00,89.18,57.96,123.7,17.22
3/30/2017 16:00:00,89.01,57.97,125.75,17.32
3/31/2017 16:00:00,88.87,57.66,125.35,17.28
4/3/2017 16:00:00,89.36,57.82,121.8,17.03
4/4/2017 16:00:00,88.78,57.69,118.6,17.04
4/5/2017 16:00:00,89.03,57.79,117.8,16.75
4/6/2017 16:00:00,89.09,57.83,121.5,17
4/7/2017 16:00:00,88.74,57.91,122.65,16.69
4/10/2017 16:00:00,88.86,57.97,119.4,16.99
4/11/2017 16:00:00,88.85,58.13,122.05,16.92
4/12/2017 16:00:00,88.68,57.9,120.55,17.3
4/13/2017 16:00:00,88.87,57.6,116.8,16.92
4/17/2017 16:00:00,89.81,58.23,119.85,17.08
4/18/2017 16:00:00,89.73,58.18,121.95,16.98
4/19/2017 16:00:00,89.75,58.28,123.7,17.2
4/20/2017 16:00:00,91.15,58.9,125.2,17.71
4/21/2017 16:00:00,91.15,59.2,127.15,17.49
4/24/2017 16:00:00,91.85,59.72,129,17.85
4/25/2017 16:00:00,92.11,59.81,131.2,18.22
4/26/2017 16:00:00,91.82,60,125.75,18.08
4/27/2017 16:00:00,91.6,59.95,142.4,18.23
4/28/2017 16:00:00,91.22,59.57,140.9,18.24
5/1/2017 16:00:00,91.26,59.55,144.43,18.61
5/2/2017 16:00:00,92.54,59.32,144.4,18.81
5/3/2017 16:00:00,92.44,59.23,142.65,18.28
5/4/2017 16:00:00,92.62,60.13,146.45,19.9
5/5/2017 16:00:00,92.09,60,146.88,19.78
5/8/2017 16:00:00,91.92,59.92,147.95,19.56
5/9/2017 16:00:00,92,59.87,146.55,19.8
5/10/2017 16:00:00,92.25,59.63,146.1,19.95
5/11/2017 16:00:00,92.1,59.93,148.6,19.71
5/12/2017 16:00:00,92.73,59.89,151.3,20.08
5/15/2017 16:00:00,93.23,60.45,154.2,20.25
5/16/2017 16:00:00,93.15,59.88,158,20.34
5/17/2017 16:00:00,91.76,59.57,152.6,19.56
5/18/2017 16:00:00,91.71,60.02,153.35,19.68
5/19/2017 16:00:00,92.48,60.34,157.65,19.91
5/22/2017 16:00:00,93.31,61.16,156.75,20.95
5/23/2017 16:00:00,93.86,61.17,157.6,21.64
5/24/2017 16:00:00,94.81,61.38,156.7,21.92
5/25/2017 16:00:00,95.04,62.26,155.85,22.33
5/26/2017 16:00:00,94.67,62.05,157.45,22.33
5/30/2017 16:00:00,94.72,62.27,157.9,22.74
5/31/2017 16:00:00,95.23,62.64,155.6,22.99
6/1/2017 16:00:00,95.4,62.62,163.4,23.23
6/2/2017 16:00:00,96.15,62.86,166,23.2
6/5/2017 16:00:00,96.55,62.73,163.5,23.39
6/6/2017 16:00:00,95.79,62.22,170.7,24.21
6/7/2017 16:00:00,96.09,62.55,169.8,24.29
6/8/2017 16:00:00,96.09,61.88,170.85,24.78
6/9/2017 16:00:00,94.56,61.43,170,23.03
6/12/2017 16:00:00,93.5,61.59,161.3,23.6
6/13/2017 16:00:00,95.08,62.26,163.95,23.48
6/14/2017 16:00:00,95.32,62.31,166.8,23.47
6/15/2017 16:00:00,94.17,62.74,166.55,23.99
6/16/2017 16:00:00,94.17,62.33,169.85,23.56
6/19/2017 16:00:00,94.79,62.6,175.2,24.2
6/20/2017 16:00:00,94.38,62.31,173.3,23.85
6/21/2017 16:00:00,94.54,62.69,178.85,24.16
6/22/2017 16:00:00,93.95,62.46,179.65,24.28
6/23/2017 16:00:00,95.58,62.4,182.05,24.17
6/26/2017 16:00:00,95.22,62.17,181,23.93
6/27/2017 16:00:00,94.9,61.43,175,23.32
6/28/2017 16:00:00,96.23,62.03,179.85,24.3
6/29/2017 16:00:00,94.42,60.81,175,23.4
6/30/2017 16:00:00,93.78,61.17,172.2,23.46
7/3/2017 16:00:00,93.35,60.66,171.4,22.83
7/5/2017 16:00:00,94.01,61.18,174.35,23.76
7/6/2017 16:00:00,93.25,60.9,167.15,23.22
7/7/2017 16:00:00,93.92,61.39,168.9,23.59
7/10/2017 16:00:00,95.09,61.4,172.1,23.94
7/11/2017 16:00:00,95.41,61.02,170.45,25.44
7/12/2017 16:00:00,96.18,61.72,173.4,26.21
7/13/2017 16:00:00,95.94,61.64,171.25,25.98
7/14/2017 16:00:00,96.93,61.81,173.65,26.33
7/17/2017 16:00:00,96.83,62.63,174.3,26.19
7/18/2017 16:00:00,97.58,62.53,180.25,26.59
7/19/2017 16:00:00,98.25,62.88,181.2,26.36
7/20/2017 16:00:00,98.11,63.12,180.9,26.39
7/21/2017 16:00:00,99.6,63.36,181.93,26.85
7/24/2017 16:00:00,100.37,63.24,184.35,26.75
7/25/2017 16:00:00,99.99,63.2,186.05,26.89
7/26/2017 16:00:00,100.85,63.51,183.8,27.31
7/27/2017 16:00:00,99.57,63.49,217.15,25.92
7/28/2017 16:00:00,99.15,63.12,216.55,26.2
7/31/2017 16:00:00,99.56,64.25,220.6,26.35
8/1/2017 16:00:00,100.87,64.64,224.25,26.81
8/2/2017 16:00:00,101.28,61.99,228.25,26.46
8/3/2017 16:00:00,100.59,61.99,229.95,25.22
8/4/2017 16:00:00,100.89,61.54,229.25,25.21
8/7/2017 16:00:00,101.49,62.04,233.45,25.68
8/8/2017 16:00:00,101.28,61.79,229.3,26.02
8/9/2017 16:00:00,100.97,61.65,229.2,25.59
8/10/2017 16:00:00,99.49,61.25,221.85,24.65
8/11/2017 16:00:00,100.09,61.42,219.65,24.82
8/14/2017 16:00:00,101.87,62.03,226.35,25.2
8/15/2017 16:00:00,102.63,62.35,223.5,24.83
8/16/2017 16:00:00,103.32,62.42,229.2,24.99
8/17/2017 16:00:00,102.16,60.55,222.1,24.54
8/18/2017 16:00:00,102.51,60.18,224.85,24.83
8/21/2017 16:00:00,103.22,60.39,225.8,24.46
8/22/2017 16:00:00,104.07,61.31,226.85,25.34
8/23/2017 16:00:00,103.18,61.08,225.5,25.48
8/24/2017 16:00:00,103.22,60.76,225.7,25.66
8/25/2017 16:00:00,103.35,61.16,222.75,24.99
8/28/2017 16:00:00,103.78,61.42,229.95,24.91
8/29/2017 16:00:00,103.77,61.51,225.45,25.04
8/30/2017 16:00:00,103.73,61.61,231.55,25.76
8/31/2017 16:00:00,103.52,61.86,230.95,26.11
9/1/2017 16:00:00,103.9,61.5,235.9,25.93
9/5/2017 16:00:00,103.01,60.93,232.8,25.77
